year,subbasin,water_right_date,water_right_cat,shut_off_date,shut_off_julian
2011,bw_bl_magic,3/24/1883,A,10/1/11,274
2011,bw_bl_magic,10/14/1884,B,10/1/11,274
2011,bw_bl_magic,6/1/1886,C,10/1/11,274
2011,sc_lw,3/24/1883,A,10/1/11,274
2011,sc_lw,10/14/1884,B,10/1/11,274
2011,sc_lw,6/1/1886,C,10/1/11,274
2012,bw_ab_magic,3/24/1883,A,9/12/12,256
2012,bw_ab_magic,10/14/1884,B,7/30/12,212
2012,bw_ab_magic,6/1/1886,C,7/23/12,205
2012,bw_bl_magic,3/24/1883,A,10/1/12,275
2012,bw_bl_magic,10/14/1884,B,10/1/12,275
2012,bw_bl_magic,6/1/1886,C,10/1/12,275
2012,sc_lw,3/24/1883,A,10/1/12,275
2012,sc_lw,10/14/1884,B,10/1/12,275
2012,sc_lw,6/1/1886,C,10/1/12,275
2013,bw_ab_magic,3/24/1883,A,8/2/13,214
2013,bw_ab_magic,10/14/1884,B,7/10/13,191
2013,bw_ab_magic,6/1/1886,C,7/8/13,189
2013,bw_bl_magic,3/24/1883,A,6/28/13,179
2013,bw_bl_magic,10/14/1884,B,6/28/13,179
2013,bw_bl_magic,6/1/1886,C,6/28/13,179
2013,sc_lw,3/24/1883,A,10/1/13,274
2013,sc_lw,10/14/1884,B,7/9/13,190
2013,sc_lw,6/1/1886,C,7/9/13,190
2014,bw_ab_magic,3/24/1883,A,10/1/14,274
2014,bw_ab_magic,10/14/1884,B,7/15/14,196
2014,bw_ab_magic,6/1/1886,C,7/10/14,191
2014,bw_bl_magic,3/24/1883,A,8/18/14,230
2014,bw_bl_magic,10/14/1884,B,8/6/14,218
2014,bw_bl_magic,6/1/1886,C,8/6/14,218
2014,sc_lw,3/24/1883,A,10/1/14,274
2014,sc_lw,10/14/1884,B,6/26/14,177
2014,sc_lw,6/1/1886,C,5/27/14,147
2015,bw_ab_magic,3/24/1883,A,8/7/15,219
2015,bw_ab_magic,10/14/1884,B,7/15/15,196
2015,bw_ab_magic,6/1/1886,C,7/2/15,183
2015,bw_bl_magic,3/24/1883,A,7/27/15,208
2015,bw_bl_magic,10/14/1884,B,7/6/15,187
2015,bw_bl_magic,6/1/1886,C,7/6/15,187
2015,sc_lw,3/24/1883,A,10/1/15,274
2015,sc_lw,10/14/1884,B,8/3/15,215
2015,sc_lw,6/1/1886,C,6/11/15,162
2016,bw_ab_magic,3/24/1883,A,8/31/16,244
2016,bw_ab_magic,10/14/1884,B,7/19/16,201
2016,bw_ab_magic,6/1/1886,C,7/12/16,194
2016,bw_bl_magic,3/24/1883,A,8/31/16,244
2016,bw_bl_magic,10/14/1884,B,8/31/16,244
2016,bw_bl_magic,6/1/1886,C,8/9/16,222
2016,sc_lw,3/24/1883,A,10/1/16,275
2016,sc_lw,10/14/1884,B,7/18/16,200
2016,sc_lw,6/1/1886,C,6/30/16,182
2017,bw_ab_magic,3/24/1883,A,10/1/17,274
2017,bw_ab_magic,10/14/1884,B,9/6/17,249
2017,bw_ab_magic,6/1/1886,C,8/28/17,240
2017,bw_bl_magic,3/24/1883,A,10/1/17,274
2017,bw_bl_magic,10/14/1884,B,10/1/17,274
2017,bw_bl_magic,6/1/1886,C,10/1/17,274
2017,sc_lw,3/24/1883,A,10/1/17,274
2017,sc_lw,10/14/1884,B,10/1/17,274
2017,sc_lw,6/1/1886,C,10/1/17,274
2018,bw_ab_magic,3/24/1883,A,9/4/18,247
2018,bw_ab_magic,10/14/1884,B,7/23/18,204
2018,bw_ab_magic,6/1/1886,C,7/16/18,197
2018,bw_bl_magic,3/24/1883,A,10/1/18,274
2018,bw_bl_magic,10/14/1884,B,10/1/18,274
2018,bw_bl_magic,6/1/1886,C,10/1/18,274
2018,sc_lw,3/24/1883,A,10/1/18,274
2018,sc_lw,10/14/1884,B,10/1/18,274
2018,sc_lw,6/1/1886,C,8/2/18,214
2019,bw_ab_magic,3/24/1883,A,10/1/19,274
2019,bw_ab_magic,10/14/1884,B,8/19/19,231
2019,bw_ab_magic,6/1/1886,C,8/15/19,227
2019,bw_bl_magic,3/24/1883,A,10/1/19,274
2019,bw_bl_magic,10/14/1884,B,10/1/19,274
2019,bw_bl_magic,6/1/1886,C,10/1/19,274
2019,sc_lw,3/24/1883,A,10/1/19,274
2019,sc_lw,10/14/1884,B,10/1/19,274
2019,sc_lw,6/1/1886,C,10/1/19,274
